"","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"29","CACAmH4r1fw","Bowling Trick Shots | Dude Perfect","Dude Perfect teams up w/ the World's #1 Bowler: Jason Belmonte ---------------------------------------- <U+25BB> VISIT our NEW STORE! - http://dudeperfect.merchline.com ...",2014-06-02 21:58:18,2014-06-02,79080,"none","UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect",72208128,464970,11074,0,43896,17,NA,"Esportes",72000
"30","P8V_bx0L4RY","Water Bottle Flip Edition | Dude Perfect","It's time to flip some water bottles! <U+25BB> VISIT our NEW STORE - http://bit.ly/DPStore <U+25BB> SUBSCRIBE for MORE! - http://bit.ly/SubscribeToDP Play our FREE new ...",2016-07-18 21:56:02,2016-07-18,78960,"none","UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect",67526822,1023081,25866,0,91006,17,NA,"Esportes",67000
"31","k3aAl92_VDE","Adam Levine's New Girlfriend","Three-year-old Mila is Adam's biggest (little) fan, and had quite the reaction when she found out he was married!",2015-10-16 13:00:02,2015-10-16,46800,"none","UCp0hYYBW6IMayGgR-WeoCvQ","TheEllenShow",65700389,425190,12215,0,0,24,"en","Entretenimento",65000
"32","QZmkU5Pg1sw","Surprise! Britney Learns 'Gangnam Style' from Psy!","Korean pop star and YouTube sensation Psy gave Britney Spears a surprise visit on the show, and taught her his famous horse dance!",2012-09-11 03:33:08,2012-09-11,12780,"none","UCp0hYYBW6IMayGgR-WeoCvQ","TheEllenShow",58841029,211899,13404,0,32739,24,NA,"Entretenimento",58000
"33","HYjHld318p0","The Perfect, Last-Minute Kids' Costumes!","Ellen's done it again! She's put together some terrific costumes for your kids this year.",2014-10-29 20:00:02,2014-10-29,72000,"none","UCp0hYYBW6IMayGgR-WeoCvQ","TheEllenShow",50512610,172213,16621,0,0,24,"en","Entretenimento",50000
"34","mavy9X6Cno4","Ellen's Astounding Anaconda Dancer","She's only 11 years old, but she can really bust a move! Ellen had a very talented young dancer and her choreographer perform on the show.",2014-10-01 21:00:03,2014-10-01,75600,"none","UCp0hYYBW6IMayGgR-WeoCvQ","TheEllenShow",48597339,324574,18973,0,0,24,"en","Entretenimento",48000
"35","Tmvk7kRC7VU","A Huge Surprise for Justin Bieber's Superfan!","An Ellen viewer, Paige, is a huge Justin Bieber fan, so Ellen set up a big surprise for Paige at her house -- Justin himself! Then Ellen had another surprise for her ...",2011-02-09 17:25:16,2011-02-09,62700,"none","UCp0hYYBW6IMayGgR-WeoCvQ","TheEllenShow",47537549,292925,12992,0,54472,24,NA,"Entretenimento",47000
"36","xfeys7Jfnx8","Nice Guys","Behind the Scenes at http://www.youtube.com/higatv Two losers take a ""how to pick up girls"" class and realize that Nice Guys finish last which results in the ...",2011-05-31 20:33:21,2011-05-31,73980,"none","UCSAUGyc_xA8uYzaIVG6MESQ","nigahiga",73723135,806832,11082,0,170358,24,NA,"Entretenimento",73000
"37","JdLCEwEFCMU","How to be Ninja","This is a dvd that shows you how to be an excellent ninja. Songs Used: Carl Douglas - Kung Fu Fighting Mortal Kombat Theme Song Pink Panther Theme Song ...",2007-07-26 03:26:37,2007-07-26,12360,"none","UCSAUGyc_xA8uYzaIVG6MESQ","nigahiga",49061512,569215,12606,0,99055,23,NA,"Comédia",49000
"38","khFhF64P3VQ","How to be Gangster","A dvd that teaches you how to be a true gangster Songs Used: Soulja Boy - Crank Dat Colbie Caillat - Bubbly Flo Rida - Low Rihanna - Unfaithful MIMS - This is ...",2007-11-05 03:26:26,2007-11-05,12360,"none","UCSAUGyc_xA8uYzaIVG6MESQ","nigahiga",45226029,366872,10796,0,61298,23,NA,"Comédia",45000
