"","X","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"321",321,"h1A9Kc5iNkQ","ROLA","Fil<e9> com queijo, pizza, coxinha, pastel, empada, ""kibe"", esfiha, dois hamb<fa>rgueres, alface, queijo, molho especial, cebola, picles, p<e3>o com gergelim, a<e7>a<ed>, ...","2013-01-10 12:55:58","2013-01-10",46500,"none","UCEWHPFNilsT0IfQfutVzsag","Porta dos Fundos",26608144,217282,17229,0,11140,24,"pt","Entretenimento",26000
"326",326,"OeWxxTLdRBw","Rap Minecraft Para<ed>so | Ft TAUZ (Minecraft Animation)","Se Inscreva no canal: http://goo.gl/X35Pv7 <U+2713> Tauz: https://goo.gl/z9N3kv <U+2713> DOWNLOAD: https://goo.gl/c4rpti <U+2713> PLAYLIST: http://goo.gl/TSC5tn LIVE AGORA: ...","2015-07-11 17:00:00","2015-07-11",61200,"none","UCbTVTephX30ZhQF5zwFppBg","rezendeevil",21076906,492972,10603,0,48874,20,NA,"Jogos",21000
"331",331,"9h1l5Z0mH0w","Minecraft M<fa>sica <U+266B> - COM MEUS AMIGOS | Animation Minecraft (Feat. Brancoala)","Outras Anima<e7><f5>es: http://bit.ly/VideosCanal Camisas Canal: http://bit.ly/CamisasCanal <U+25CB> Clique em (mostrar mais) Assista outras Series do Canal: <U+25CB> Perdidos: ...","2015-08-11 15:00:05","2015-08-11",54000,"none","UCIPA6iWNaoetaa1T46RkzXw","AuthenticGames",33528839,625017,13010,0,57150,20,NA,"Jogos",33000
"336",336,"63WnVWala1k","5inco Minutos - ""BANG""  (PAR<d3>DIA) <U+266B>","LETRA: Miga sua louca voc<ea> pare de falar de mim! Eu n<e3>o gosto desse tipo de gentinha assim! An an! An an an! An an! An an an! An an! An an an! Bem! Bem!","2015-11-24 13:51:41","2015-11-24",49860,"none","UC3RpTX6fEMJ6KBNTTgXJB9w","5incominutos",44577097,1449635,136932,0,136994,24,NA,"Entretenimento",44000
"341",341,"_R84uhlE2fc","PEDINDO MC DONALDS CANTANDO Ft Cocielo e Gusta","Voc<ea> j<e1> tentou fazer um pedido no Drive Thru do McDonalds CANTANDO? N<e3>o? N<f3>s sim! Veja nesse v<ed>deo especial que conta com a participa<e7><e3>o especial de ...","2015-02-09 13:30:00","2015-02-09",48600,"none","UCH2VZQBLFTOp6I_qgnBJCuQ","Canal Nostalgia",16418227,1082532,5197,0,18640,24,"pt","Entretenimento",16000
"346",346,"3mdPu13GrAs","FA<c7>O TUDO...","Site: http://www.parafernalha.com.br Twitter: http://www.twitter.com/parafernalha Facebook: http://www.facebook.com/parafernalha Elenco: Homem - Fabio ...","2012-11-20 18:23:46","2012-11-20",66180,"none","UCddYq41_tZ1FnLlguLT6-Ow","Parafernalha",40512617,331099,26918,0,10126,24,NA,"Entretenimento",40000
"351",351,"DK_0jXPuIr0","Justin Bieber - What Do You Mean?","'Purpose' Available Everywhere Now! iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?","2015-08-31 03:00:00","2015-08-31",10800,"none","UCHkj014U2CQ2Nv0UZeYpE_A","JustinBieberVEVO",1803638811,6229301,851232,0,451679,10,"en","Música",1803000
"356",356,"8v1TECc0HiI","GTA 5 Best Moments - Funny Moments, Glitches, Skits (GTA 5 Online / Single Player Montage)","NEW Vanoss Shirts & Merch HERE: http://bit.ly/1SnwqxY Friends in the vid: Wildcat - http://bit.ly/11oQ2GF H20 Delirious - http://bit.ly/191aKBE BasicallyIDoWrk ...","2014-02-11 02:40:36","2014-02-11",9600,"none","UCKqH_9mk1waLgBiL2vT5b9g","VanossGaming",40070495,438873,9027,0,0,20,NA,"Jogos",40000
"361",361,"Se1y2R5QRKU","Top 10 Bruce Lee Moments","Top 10 Greatest Bruce Lee Moments Subscribe: http://goo.gl/Q2kKrD Bruce Lee is the most legendary martial artist of all time! Always imitated and paid tribute to ...","2013-07-10 14:35:07","2013-07-10",52500,"none","UCaWd5_7JhbQBe4dknZhsHJg","WatchMojo.com",72681486,154368,14633,0,13782,24,"en","Entretenimento",72000
"366",366,"7o4uDXft_pU","How Girls Get Ready...","Like this video? Click here to share it on Facebook: http://on.fb.me/14oA70Q New video every Monday & Thursday! Bookings & Business Inquiries: ...","2013-03-25 22:12:04","2013-03-25",79920,"none","UCfm4y4rHF5HGrSr-qbvOwOg","IISuperwomanII",23893843,399443,5108,0,23013,23,"en-US","Comédia",23000
"371",371,"tWs1E2BfNZE","QUAL <c9> A SENHA DO WIFI - Par<f3>dia Adele - Hello","MEU INSTAGRAM: http://goo.gl/uYVFV2 MEU TWITTER: http://goo.gl/z6Wwdj MINHA P<c1>GINA: http://goo.gl/vuB0a1 MEU FACE: http://goo.gl/q2QSUj CANAIS ...","2015-12-05 23:00:00","2015-12-05",82800,"none","UC3KQ5GWANYF8lChqjZpXsQw","whinderssonnunes",58584805,2869473,52604,0,144979,23,NA,"Comédia",58000
"376",376,"ym4uVS-5tSA","10 Roads You Would Never Want to Drive On","Top 10 Most Dangerous Roads and Highways from around the world you should never take your car on. Subscribe to our channel: http://goo.gl/9CwQhg For ...","2015-10-29 11:00:01","2015-10-29",39600,"none","UCdxi8d8qRsRyUi2ERYjYb-w","TheRichest",98554572,171738,31540,0,12695,27,"en","Educação",98000
"381",381,"znK652H6yQM","iPhone 6 Plus Bend Test","Does the iPhone 6 Plus bend under pressure? Conspiracy theorists watch my new uncut test - http://youtu.be/gJ3Ds6uf0Yg Galaxy Note 3 bend test: ...","2014-09-23 20:32:03","2014-09-23",73920,"none","UCsTcErHg8oDvUnTzoqsYeNw","Unbox Therapy",69959120,273777,36919,0,51710,28,"en","Ciência e Tecnologia",69000
"386",386,"ih2xubMaZWI","OMFG - Hello","'Feeling Sheepish'...http://bit.ly/SuicideSheepSpotify MERRY CHRISTMAS!!!! Download... https://bitly.com/alexomfghello OMFG https://soundcloud.com/alexomfg ...","2014-12-25 18:30:03","2014-12-25",66600,"none","UC5nc_ZtjKW1htCVZVRxlQAQ","MrSuicideSheep",167490262,2137794,56273,0,147677,24,NA,"Entretenimento",167000
"391",391,"kgZtAl-XNq8","How to Unlock ANY iPhone Without the Passcode","FOLLOW TO SAVE A LIFE: Twitter: https://twitter.com/wolfieraps Instagram: http://instagram.com/wolfieraps Snapchat: WolfieRaps **If it doesn't get your friend to ...","2016-03-08 01:00:00","2016-03-08",3600,"none","UCbI2XhhZwo4NEyg3oNv2Tsw","WolfieRaps",32942404,488421,39050,0,45535,23,"en-US","Comédia",32000
"396",396,"m9FRSghXhDM","Fast Food Lasagna - Epic Meal Time","MAKE A MEAL WITH US & ARNOLD!!!! http://omaze.com/Epic LIKE/FAV We got 45 burgers, a whole bunch of liquor and bacon.... this is Fast Food Lasagna.","2011-04-26 07:40:09","2011-04-26",27600,"none","UCYjk_zY-iYR8YNfJmuzd70A","Epic Meal Time",29395672,220317,7088,0,57393,24,"en-US","Entretenimento",29000
